id,title,cluster_label,best_algorithm,best_k
1621434,White-Hot Hives,0,MiniBatchKMeans,2
1620663,Midnight Crave,0,MiniBatchKMeans,2
1619430,Tape Me,0,MiniBatchKMeans,2
1619367,3 .0 Килограма щастие,0,MiniBatchKMeans,2
1618898,KALLISTI,0,MiniBatchKMeans,2
1617614,Rouge,0,MiniBatchKMeans,2
1617366,太空异种,0,MiniBatchKMeans,2
1617030,Oh My Bully !,0,MiniBatchKMeans,2
1616932,Regarde toi,0,MiniBatchKMeans,2
1616910,l'alien,0,MiniBatchKMeans,2
1616365,Bill & Ulysse,0,MiniBatchKMeans,2
1615976,Currently Spinning,0,MiniBatchKMeans,2
1615675,De l'Or dans les mains,0,MiniBatchKMeans,2
1615142,Fanées,0,MiniBatchKMeans,2
1614959,Practice?,0,MiniBatchKMeans,2
1614791,Chronique d'une sirène en détresse,0,MiniBatchKMeans,2
1614635,Le Portrait d'un Oiseau,0,MiniBatchKMeans,2
1613883,Baśka 2,0,MiniBatchKMeans,2
1613661,Printemp(s),0,MiniBatchKMeans,2
1613359,Neráida,0,MiniBatchKMeans,2
1613335,Miracle: The Boys of '80,0,MiniBatchKMeans,2
1613103,Amante Difícil,0,MiniBatchKMeans,2
1613093,Led by the Ashes,0,MiniBatchKMeans,2
1612261,Aqua Fortis,0,MiniBatchKMeans,2
1612238,Les Bodin's ouvrent un gîte : La suite,0,MiniBatchKMeans,2
1612235,Les Bodin's ouvrent un gîte,0,MiniBatchKMeans,2
1611669,"""World's Greatest Detective""",0,MiniBatchKMeans,2
1611530,The Last Zawgyi,0,MiniBatchKMeans,2
1610763,"Remember When, Alden?",0,MiniBatchKMeans,2
1609655,444,0,MiniBatchKMeans,2
1609620,Girls und Panzer: Motto Love Love Sakusen Desu! Act 2,0,MiniBatchKMeans,2
1609334,The Happy Pear: Living Like You're Going To Die,0,MiniBatchKMeans,2
1609333,Take My Whole Life Too,0,MiniBatchKMeans,2
1609323,Tony's* Cousin,0,MiniBatchKMeans,2
1608921,"Short cuts - ""L'Armée des 12 singes"" de Terry Gilliam",0,MiniBatchKMeans,2
1607398,The Horrors' Horror Home (PILOT),0,MiniBatchKMeans,2
1606488,The Rarest Thing in the World,0,MiniBatchKMeans,2
1604279,RELUCESCO,0,MiniBatchKMeans,2
